img,title,price,product_link
http://www.bornprettystore.com/images/ProPho/6208/dsc.jpg,Nail Art Water Decals Transfers Sticker Beaut...,USD $2.86,http://www.bornprettystore.com/nail-water-decals-transfers-sticker-beautiful-flower-pattern-g110-p-6208.html
http://www.bornprettystore.com/images/ProPho/3868/dsc.jpg,New Stamping Nail Art Stamper with Plastic Sc...,USD $1.99,http://www.bornprettystore.com/stamping-nail-stamper-with-plastic-scraper-p-3868.html
http://www.bornprettystore.com/images/ProPho/575/dsc.jpg,10x ORANGE Wood Stick Nail Art Rhinestone Rem...,USD $1.98,http://www.bornprettystore.com/orange-wood-stick-nail-rhinestone-remover-tool-p-575.html
http://www.bornprettystore.com/images/ProPho/1082/dsc.jpg,New Nail Art Stamping Template-m64,USD $2.99,http://www.bornprettystore.com/nail-stamping-template-p-1082.html
http://www.bornprettystore.com/images/ProPho/881/dsc.jpg,12 Colors Round Rhinestone Nail Art Glitter D...,USD $4.51,http://www.bornprettystore.com/colors-round-rhinestone-nail-glitter-decoration-p-881.html
http://www.bornprettystore.com/images/ProPho/1080/dsc.jpg,New Lotus Pattern Nail Art Stamp Template-m66,USD $2.99,http://www.bornprettystore.com/lotus-pattern-nail-stamp-template-p-1080.html
http://www.bornprettystore.com/images/ProPho/6641/dsc.jpg,50pcs 3D Quality Punk Metal Round Shape Nail ...,USD $0.99,http://www.bornprettystore.com/50pcs-quality-punk-metal-round-shape-nail-decorations-p-6641.html
http://www.bornprettystore.com/images/ProPho/5363/dsc.jpg,100cm Punk Style Metal Chain Line Acrylic UV ...,USD $5.61,http://www.bornprettystore.com/100cm-punk-style-metal-chain-line-acrylic-nail-decoration-p-5363.html
http://www.bornprettystore.com/images/ProPho/7219/dsc.jpg,400pcs 2mm Round Square Fluorescent Dark Colo...,USD $4.55,http://www.bornprettystore.com/400pcs-round-square-fluorescent-dark-colors-stud-nail-decoration-wbox-selling-wheel-p-7219.html
http://www.bornprettystore.com/images/ProPho/7154/dsc.jpg,1 sheet Black Cute Mustache Series 3D Nail St...,USD $0.99,http://www.bornprettystore.com/sheet-black-cute-mustache-series-nail-stickers-nail-decoration-p-7154.html
http://www.bornprettystore.com/images/ProPho/1078/dsc.jpg,New Nail Art Design Stamp Template-m73,USD $0.99,http://www.bornprettystore.com/nail-design-stamp-template-p-1078.html
http://www.bornprettystore.com/images/ProPho/2447/dsc.jpg,3 Sizes Round Rhinestone Nail Art Glitter Dec...,USD $3.88,http://www.bornprettystore.com/sizes-round-rhinestone-nail-glitter-decoration-p-2447.html
http://www.bornprettystore.com/images/ProPho/4996/dsc.jpg,100pcs 2mm Colorful Rhinestone Acrylic UV Gel...,USD $0.99,http://www.bornprettystore.com/100pcs-colorful-rhinestone-acrylic-nail-colors-p-4996.html
http://www.bornprettystore.com/images/ProPho/15851/dsc.jpg,2Pcs/Set Practical Stamping Nail Art Stamper ...,USD $2.78,http://www.bornprettystore.com/2pcsset-practical-stamping-nail-stamper-scraper-p-15851.html
http://www.bornprettystore.com/images/ProPho/1272/dsc.jpg,New French Nails Design Nail Art Stamp Templa...,USD $2.99,http://www.bornprettystore.com/french-nails-design-nail-stamp-template-p-1272.html
http://www.bornprettystore.com/images/ProPho/5268/dsc.jpg,Fast Dry DIY Nail Art Quick Drawing Paint Pol...,USD $5.99,http://www.bornprettystore.com/fast-nail-quick-drawing-paint-polish-pens-p-5268.html
http://www.bornprettystore.com/images/ProPho/6410/dsc.jpg,Born Pretty Holographic Holo Glitter Nail Pol...,USD $6.44,http://www.bornprettystore.com/born-pretty-holographic-holo-glitter-nail-polish-varnish-hologram-effect-p-6410.html
http://www.bornprettystore.com/images/ProPho/6457/dsc.jpg,Nail Art Stamp Template Beautiful Lace Snowfl...,USD $2.99,http://www.bornprettystore.com/nail-stamp-template-beautiful-lace-snowflake-pattern-qa57-p-6457.html
http://www.bornprettystore.com/images/ProPho/5273/dsc.jpg,1pc Nail Art Brush Ongle Liner Drawing Line P...,USD $1.99,http://www.bornprettystore.com/nail-brush-ongle-liner-drawing-line-paint-sizes-selectable-p-5273.html
http://www.bornprettystore.com/images/ProPho/6209/dsc.jpg,Nail Water Decals Sticker Transfer Sticker Wh...,USD $0.99,http://www.bornprettystore.com/nail-water-decals-sticker-transfer-sticker-white-black-lace-flower-pattern-p-6209.html
http://www.bornprettystore.com/images/ProPho/6443/dsc.jpg,Nail Water Decals Sticker Transfer Sticker Co...,USD $0.99,http://www.bornprettystore.com/nail-water-decals-sticker-transfer-sticker-colorful-flowers-pattern-g130h008-p-6443.html
http://www.bornprettystore.com/images/ProPho/1079/dsc.jpg,New Curve Design Nail Art Stamp Template-m69,USD $2.99,http://www.bornprettystore.com/curve-design-nail-stamp-template-p-1079.html
http://www.bornprettystore.com/images/ProPho/12024/dsc.jpg,3Pcs/Set Hot-sell Double Sided Stamping Nail ...,USD $4.46,http://www.bornprettystore.com/3pcsset-sell-double-sided-stamping-nail-stamper-scraper-p-12024.html
